Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Tromsø Plu;SN90451;05.07.2013;0
Tromsø Plu;SN90451;09.07.2013;8,5
Tromsø Plu;SN90451;13.07.2013;1,7
Tromsø Plu;SN90451;15.07.2013;1,5
Tromsø Plu;SN90451;16.07.2013;1,7
Tromsø Plu;SN90451;17.07.2013;0,7
Tromsø Plu;SN90451;18.07.2013;4,8
Tromsø Plu;SN90451;19.07.2013;0,8
Tromsø Plu;SN90451;20.07.2013;0,1
Tromsø Plu;SN90451;21.07.2013;8,4
Tromsø Plu;SN90451;22.07.2013;6,1
Tromsø Plu;SN90451;23.07.2013;0
Tromsø Plu;SN90451;24.07.2013;0
Tromsø Plu;SN90451;25.07.2013;0
Tromsø Plu;SN90451;26.07.2013;0
Tromsø Plu;SN90451;27.07.2013;0
Tromsø Plu;SN90451;28.07.2013;0
Tromsø Plu;SN90451;29.07.2013;0
Tromsø Plu;SN90451;30.07.2013;1,6
Tromsø Plu;SN90451;31.07.2013;0,7
Tromsø Plu;SN90451;01.08.2013;0,3
Tromsø Plu;SN90451;02.08.2013;0
Tromsø Plu;SN90451;03.08.2013;0
Tromsø Plu;SN90451;04.08.2013;0,5
Tromsø Plu;SN90451;05.08.2013;12,1
Tromsø Plu;SN90451;06.08.2013;2,1
Tromsø Plu;SN90451;07.08.2013;1,2
Tromsø Plu;SN90451;08.08.2013;5,4
Tromsø Plu;SN90451;09.08.2013;1,5
Tromsø Plu;SN90451;10.08.2013;0,2
Tromsø Plu;SN90451;11.08.2013;0
Tromsø Plu;SN90451;12.08.2013;0
Tromsø Plu;SN90451;13.08.2013;2,5
Tromsø Plu;SN90451;14.08.2013;0,4
Tromsø Plu;SN90451;15.08.2013;0
Tromsø Plu;SN90451;16.08.2013;0,5
Tromsø Plu;SN90451;17.08.2013;0
Tromsø Plu;SN90451;18.08.2013;0,9
Tromsø Plu;SN90451;19.08.2013;0
Tromsø Plu;SN90451;20.08.2013;14,8
Tromsø Plu;SN90451;21.08.2013;0,1
