Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ullsfjord;SN91100;23.04.1958;0;71
Ullsfjord;SN91100;24.04.1958;0;69
Ullsfjord;SN91100;25.04.1958;0;68
Ullsfjord;SN91100;26.04.1958;0;67
Ullsfjord;SN91100;27.04.1958;0;65
Ullsfjord;SN91100;28.04.1958;0;61
Ullsfjord;SN91100;29.04.1958;0;57
Ullsfjord;SN91100;30.04.1958;0;53
Ullsfjord;SN91100;01.05.1958;0;49
Ullsfjord;SN91100;02.05.1958;1,1;47
Ullsfjord;SN91100;03.05.1958;0;45
Ullsfjord;SN91100;04.05.1958;0;39
Ullsfjord;SN91100;05.05.1958;0;38
Ullsfjord;SN91100;06.05.1958;0;37
Ullsfjord;SN91100;07.05.1958;0;36
Ullsfjord;SN91100;08.05.1958;0;35
Ullsfjord;SN91100;09.05.1958;0;34
Ullsfjord;SN91100;10.05.1958;0;33
Ullsfjord;SN91100;11.05.1958;0;32
Ullsfjord;SN91100;12.05.1958;0;31
Ullsfjord;SN91100;13.05.1958;0;30
Ullsfjord;SN91100;14.05.1958;0;29
Ullsfjord;SN91100;15.05.1958;0,7;28
Ullsfjord;SN91100;16.05.1958;0;26
Ullsfjord;SN91100;17.05.1958;0;23
Ullsfjord;SN91100;18.05.1958;0;20
Ullsfjord;SN91100;19.05.1958;0,1;17
Ullsfjord;SN91100;20.05.1958;0;14
Ullsfjord;SN91100;21.05.1958;0;11
Ullsfjord;SN91100;22.05.1958;0;8
Ullsfjord;SN91100;23.05.1958;0;5
Ullsfjord;SN91100;24.05.1958;0;2
Ullsfjord;SN91100;25.05.1958;0;1
Ullsfjord;SN91100;26.05.1958;0,3;0
Ullsfjord;SN91100;27.05.1958;0;0
Ullsfjord;SN91100;28.05.1958;4,2;0
Ullsfjord;SN91100;29.05.1958;6,8;0
Ullsfjord;SN91100;30.05.1958;0;0
Ullsfjord;SN91100;31.05.1958;0,1;0
Ullsfjord;SN91100;01.06.1958;0;0
Ullsfjord;SN91100;02.06.1958;0;0
Ullsfjord;SN91100;03.06.1958;0;0
Ullsfjord;SN91100;04.06.1958;13,1;0
Ullsfjord;SN91100;05.06.1958;3,6;0
Ullsfjord;SN91100;06.06.1958;0,1;0
Ullsfjord;SN91100;07.06.1958;6,2;0
Ullsfjord;SN91100;08.06.1958;0;0
Ullsfjord;SN91100;09.06.1958;0,1;0
Ullsfjord;SN91100;10.06.1958;0;0
Ullsfjord;SN91100;11.06.1958;0;0
Ullsfjord;SN91100;12.06.1958;0;0
Ullsfjord;SN91100;13.06.1958;1,7;0
Ullsfjord;SN91100;14.06.1958;3,1;0
Ullsfjord;SN91100;15.06.1958;0,1;0
Ullsfjord;SN91100;16.06.1958;0;0
Ullsfjord;SN91100;17.06.1958;0;0
Ullsfjord;SN91100;18.06.1958;0;0
Ullsfjord;SN91100;19.06.1958;2,1;0
