Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;23.07.1980;2,9;0
Lyfjord;SN90570;24.07.1980;0;0
Lyfjord;SN90570;25.07.1980;9,5;0
Lyfjord;SN90570;26.07.1980;0;0
Lyfjord;SN90570;27.07.1980;0;0
Lyfjord;SN90570;28.07.1980;0;0
Lyfjord;SN90570;29.07.1980;0;0
Lyfjord;SN90570;30.07.1980;0;0
Lyfjord;SN90570;31.07.1980;0;0
Lyfjord;SN90570;01.08.1980;0;0
Lyfjord;SN90570;02.08.1980;0;0
Lyfjord;SN90570;03.08.1980;0;0
Lyfjord;SN90570;04.08.1980;1,3;0
Lyfjord;SN90570;05.08.1980;1,4;0
Lyfjord;SN90570;06.08.1980;2,5;0
Lyfjord;SN90570;07.08.1980;4;0
Lyfjord;SN90570;08.08.1980;0;0
Lyfjord;SN90570;09.08.1980;0,4;0
Lyfjord;SN90570;10.08.1980;0;0
Lyfjord;SN90570;11.08.1980;0;0
Lyfjord;SN90570;12.08.1980;0;0
Lyfjord;SN90570;13.08.1980;0;0
Lyfjord;SN90570;14.08.1980;0;0
Lyfjord;SN90570;15.08.1980;0;0
Lyfjord;SN90570;16.08.1980;0;0
Lyfjord;SN90570;17.08.1980;0;0
Lyfjord;SN90570;18.08.1980;0;0
Lyfjord;SN90570;19.08.1980;0;0
Lyfjord;SN90570;20.08.1980;2,5;0
Lyfjord;SN90570;21.08.1980;0,6;0
Lyfjord;SN90570;22.08.1980;0;0
Lyfjord;SN90570;23.08.1980;0;0
Lyfjord;SN90570;24.08.1980;0;0
Lyfjord;SN90570;25.08.1980;0;0
Lyfjord;SN90570;26.08.1980;3,2;0
Lyfjord;SN90570;27.08.1980;8,5;0
Lyfjord;SN90570;28.08.1980;0;0
Lyfjord;SN90570;29.08.1980;0;0
Lyfjord;SN90570;30.08.1980;0;0
Lyfjord;SN90570;31.08.1980;0,2;0
Lyfjord;SN90570;01.09.1980;12,5;0
Lyfjord;SN90570;02.09.1980;2,2;0
Lyfjord;SN90570;03.09.1980;0;0
Lyfjord;SN90570;04.09.1980;0;0
Lyfjord;SN90570;05.09.1980;20,3;0
Lyfjord;SN90570;06.09.1980;0,1;0
Lyfjord;SN90570;07.09.1980;5,6;0
Lyfjord;SN90570;08.09.1980;2;0
Lyfjord;SN90570;09.09.1980;3,5;0
Lyfjord;SN90570;10.09.1980;2,5;0
Lyfjord;SN90570;11.09.1980;0,3;0
Lyfjord;SN90570;12.09.1980;2,5;0
Lyfjord;SN90570;13.09.1980;1,9;0
Lyfjord;SN90570;14.09.1980;0;0
Lyfjord;SN90570;15.09.1980;1,6;0
Lyfjord;SN90570;16.09.1980;7,6;0
Lyfjord;SN90570;17.09.1980;1,7;0
Lyfjord;SN90570;18.09.1980;3,7;0
Lyfjord;SN90570;19.09.1980;3,6;0
Lyfjord;SN90570;20.09.1980;29,7;0
Lyfjord;SN90570;21.09.1980;2,1;0
