Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;01.06.1977;6,5;0
Kvalsund - Simavik;SN90610;02.06.1977;5,2;0
Kvalsund - Simavik;SN90610;03.06.1977;3,4;0
Kvalsund - Simavik;SN90610;04.06.1977;3,4;0
Kvalsund - Simavik;SN90610;05.06.1977;0;0
Kvalsund - Simavik;SN90610;06.06.1977;0;0
Kvalsund - Simavik;SN90610;07.06.1977;0;0
Kvalsund - Simavik;SN90610;08.06.1977;0;0
Kvalsund - Simavik;SN90610;09.06.1977;0;0
Kvalsund - Simavik;SN90610;10.06.1977;2,3;0
Kvalsund - Simavik;SN90610;11.06.1977;2,8;0
Kvalsund - Simavik;SN90610;12.06.1977;3,4;0
Kvalsund - Simavik;SN90610;13.06.1977;0;0
Kvalsund - Simavik;SN90610;14.06.1977;0,3;0
Kvalsund - Simavik;SN90610;15.06.1977;0;0
Kvalsund - Simavik;SN90610;16.06.1977;1,6;0
Kvalsund - Simavik;SN90610;17.06.1977;2,2;0
Kvalsund - Simavik;SN90610;18.06.1977;1,4;0
Kvalsund - Simavik;SN90610;19.06.1977;0,1;0
Kvalsund - Simavik;SN90610;20.06.1977;1,3;0
Kvalsund - Simavik;SN90610;21.06.1977;2;0
Kvalsund - Simavik;SN90610;22.06.1977;3,7;0
Kvalsund - Simavik;SN90610;23.06.1977;7,2;0
Kvalsund - Simavik;SN90610;24.06.1977;11;0
Kvalsund - Simavik;SN90610;25.06.1977;1;0
Kvalsund - Simavik;SN90610;26.06.1977;1,8;0
Kvalsund - Simavik;SN90610;27.06.1977;2,1;0
Kvalsund - Simavik;SN90610;28.06.1977;0,6;0
Kvalsund - Simavik;SN90610;29.06.1977;0,9;0
Kvalsund - Simavik;SN90610;30.06.1977;0;0
Kvalsund - Simavik;SN90610;01.07.1977;0;0
Kvalsund - Simavik;SN90610;02.07.1977;11,5;0
Kvalsund - Simavik;SN90610;03.07.1977;7,6;0
Kvalsund - Simavik;SN90610;04.07.1977;3,2;0
Kvalsund - Simavik;SN90610;05.07.1977;0;0
Kvalsund - Simavik;SN90610;06.07.1977;0;0
Kvalsund - Simavik;SN90610;07.07.1977;0;0
Kvalsund - Simavik;SN90610;08.07.1977;0;0
Kvalsund - Simavik;SN90610;09.07.1977;0;0
Kvalsund - Simavik;SN90610;10.07.1977;6,2;0
Kvalsund - Simavik;SN90610;11.07.1977;5,3;0
Kvalsund - Simavik;SN90610;12.07.1977;13,4;0
Kvalsund - Simavik;SN90610;13.07.1977;8,1;0
Kvalsund - Simavik;SN90610;14.07.1977;2,5;0
Kvalsund - Simavik;SN90610;15.07.1977;0,8;0
Kvalsund - Simavik;SN90610;16.07.1977;0,2;0
Kvalsund - Simavik;SN90610;17.07.1977;0;0
Kvalsund - Simavik;SN90610;18.07.1977;2,7;0
Kvalsund - Simavik;SN90610;19.07.1977;0,5;0
Kvalsund - Simavik;SN90610;20.07.1977;0;0
Kvalsund - Simavik;SN90610;21.07.1977;20,2;0
Kvalsund - Simavik;SN90610;22.07.1977;0,5;0
Kvalsund - Simavik;SN90610;23.07.1977;7,8;0
Kvalsund - Simavik;SN90610;24.07.1977;0,8;0
Kvalsund - Simavik;SN90610;25.07.1977;0;0
Kvalsund - Simavik;SN90610;26.07.1977;1,8;0
Kvalsund - Simavik;SN90610;27.07.1977;1,5;0
